PRINCÍPIO ATIVO,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN 1,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 17%,PF 17% ALC,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 20%,PMVG Sem Impostos,PMVG 0%,PMVG 12%,PMVG 17%,PMVG 17% ALC,"PMVG 17,5%","PMVG 17,5% ALC",PMVG 18%,PMVG 18% ALC,RESTRIÇÃO HOSPITALAR,PMVG 20%,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),COMERCIALIZAÇÃO 2020,TARJA,Column1,_1,_2,_3,_4,_5,_6,_7,_8
21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL,18.459.628/0001-15,BAYER S.A.,538912020009303,1705600230032,7891106000956,    -,    -,BAYCUTEN N,"10 MG/G + 0,443 MG/G CREM DERM CT BG AL X 40 G",D7B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS,Novo,Regulado,2107,2360,2727,2916,2539,2937,2554,2957,2570,3043,1653,1852,2140,2288,1992,2305,2004,2320,2017,Não,2388,Não,Não,Não,,Negativa,Sim,Tarja  Vermelha,"","","","","","","","",""
ABATACEPTE,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505107701157215,1018003900019,7896016806469,    -,    -,ORENCIA,250 MG PO LIOF SOL INJ CT 1 FA + SER DESCARTÁVEL,M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Biológico,Regulado,165252,165252,187786,199099,199099,200305,200305,201527,201527,206565,129673,129673,147356,156233,156233,157179,157179,158138,158138,Sim,162092,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ABCIXIMABE,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514517110034217,1123634150015,7896212452453,    -,    -,REOPRO,2 MG/ML SOL INJ CT FA VD INC X 5 ML,"B1C3 - INIBIDORES DA AGREGAÇÃO PLAQUETÁRIA, ANTAGONISTAS GLICOPROTEÍNA IIB/IIIA",Biológico Novo,Regulado,213907,213907,243076,257719,257719,259281,259281,260862,260862,267384,167853,167853,190742,202232,202232,203458,203458,204698,204698,Sim,209816,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
ABEMACICLIBE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507619060021902,1126001990018,7896382708442,    -,    -,VERZENIOS,50 MG COM REV CT BL AL AL X 30,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,221893,248520,287187,307103,267341,309248,268961,311423,270601,320439,174119,195014,225356,240984,209782,242667,211054,244374,212341,Não,251448,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACALABRUTINIBE,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,502319040034002,1161802690010,5000456031998,    -,    -,CALQUENCE,100 MG CAP DURA CT BL AL AL X 60,L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE,Novo,Regulado,3062783,3430317,3964033,4238939,3690098,4268546,3712464,4298568,3735101,4423020,2403366,2691770,3110577,3326295,2895620,3349528,2913171,3373086,2930934,Não,3470744,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACARBOSE,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531619040086803,1356900350024,7894916503754,7896004771793,    -,AGLUCOSE,50 MG COM CT BL AL AL X 30,A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,Similar,Regulado,2096,2096,2382,2525,2525,2541,2541,2556,2556,2620,1645,1645,1869,1981,1981,1994,1994,2006,2006,Não,2056,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ACEBROFILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508017401132117,1004307850011,7891317002688,    -,    -,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,R5C - EXPECTORANTES,Genérico,Regulado,1459,1459,1658,1758,1758,1768,1768,1779,1779,1824,1145,1145,1301,1380,1380,1387,1387,1396,1396,Não,1431,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACECLOFENACO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508011303163310,1004308170014,7891317412661,    -,    -,PROFLAM,15 MG/G CREM CT TB AL X 30 G,M2A - ANTIRREUMÁTICOS E ANALGÉSICOS TÓPICOS,Similar,Liberado,2179,2441,2821,3016,2626,3037,2642,3059,2658,3147,1710,1915,2214,2367,2061,2383,2073,2400,2086,Não,2469,Não,Não,Não,,Negativa,Sim,Tarja Venda Livre,"","","","","","","","",""
ACEPONATO DE METILPREDNISOLONA,18.459.628/0001-15,BAYER S.A.,538912050016413,1705600850014,7795320050127,    -,    -,ADVANTAN,1 MG/G CREM DERM CT BG AL X 15 G,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,Novo,Regulado,3716,4162,4810,5143,4477,5179,4504,5215,4532,5366,2916,3266,3774,4036,3513,4064,3534,4092,3556,Não,4211,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE ABIRATERONA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523719020039704,1003302030018,7896094210189,    -,    -,ZOSTIDE,250 MG COM CT BL AL PLAS PVC/PVDC TRANS X 120,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,Similar,Regulado,858071,961040,1110566,1187584,1033821,1195879,1040087,1204290,1046428,1239156,673328,754128,871461,931897,811239,938406,816156,945006,821132,Não,972366,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE ATOSIBANA,74.232.034/0001-48,LABORATÓRIOS FERRING LTDA,521401102151314,1287600100018,7896165600222,    -,    -,TRACTOCILE,"7,5 MG/ML SOL INJ CT FA VD TRANS X 0,9 ML",G2E - INIBIDORES DO PARTO,Novo,Regulado,21451,21451,24376,25845,25845,26001,26001,26160,26160,26814,16833,16833,19128,20281,20281,20403,20403,20528,20528,Sim,21041,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE BAZEDOXIFENO;ESTROGÊNIOS CONJUGADOS,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522718110082501,1211004420016,7891045031240,    -,    -,DUAVIVE,"0,45 MG + 20 MG COM REV LIB PROL CT ENV AL BL AL PLAS TRANS X 30","G3C - ESTRÓGENOS EXCLUINDO G3A, G3E, G3F",Biológico,Regulado,4959,5554,6418,6863,5975,6911,6011,6960,6047,7161,3891,4358,5036,5385,4689,5423,4717,5462,4745,Não,5619,Não,Não,Não,,Negativa,Não,Tarja  Vermelha,"","","","","","","","",""
ACETATO DE BUSSERRELINA,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502811901171315,1130000800010,7891058803032,    -,    -,SUPREFACT DEPOT,"3,3 MG/ MICROBAST IMPL CT SER APLIC X 2 MICROBAST",L2A3 - ANÁLOGOS HORMONAIS DE LIBERAÇÃO DE GONADOTROFINAS CITOSTÁTICOS,Novo,Regulado,142951,142951,162444,172230,172230,173274,173274,174330,174330,178689,112174,112174,127470,135149,135149,135968,135968,136797,136797,Não,140217,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE CASPOFUNGINA,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525500301155311,1002900330017,7897337707381,    -,    -,CANCIDAS,50 MG PO LIOF SOL INFUS IV CT FA VD TRANS,J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,Novo,Regulado,305425,305425,347074,367982,367982,370212,370212,372469,372469,381781,239667,239667,272349,288755,288755,290505,290505,292276,292276,Sim,299583,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE CETRORRELIX,33.069.212/0001-84,MERCK S/A,525421701150311,1008903690013,7891721022548,    -,    -,CETROTIDE,"0,25 MG PO LIOF INJ CT FA VD TRANS + 1 SER DIL + 2 AGULHAS + 2 TOALHAS",H1C3 - HORMÔNIOS DE LIBERAÇÃO ANTIGONADOTROFINA,Novo,Regulado,20601,20601,23410,24820,24820,24971,24971,25123,25123,25751,16166,16166,18370,19476,19476,19595,19595,19714,19714,Não,20207,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ACETATO DE CIPROTERONA,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533009501116410,1049712010023,7896006282518,    -,    -,PROSTMAN,50 MG COM CT BL AL PLAS TRANS X 20 ,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,Similar,Regulado,10822,10822,,,,,,,,,8492,8492,,,,,,,,Não,,Não,Sim,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ACETATO DE CIPROTERONA;ETINILESTRADIOL,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508014103114418,1004305980041,7891317465667,    -,    -,SELENE,"(0,035 + 2) MG COM REV CT BL AL PLAS PVC/ACLAR OPC X 21 ",G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG,Similar,Regulado,1725,1725,1960,2078,2078,2091,2091,2104,2104,2156,1354,1354,1538,1631,1631,1641,1641,1651,1651,Não,1692,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
